,Pesticide
0,"Acephate, Malathion, Permethrin"
1,"Imidacloprid, Acetamiprid, Chlorpyrifos"
2,"Chlorpyrifos, Methoxyfenozide, Spinosad"
3,"Imidacloprid, Thiacloprid, Thiamethoxam"
4,"Lambda-cyhalothrin, Chlorpyrifos, Imidacloprid"
5,"Spinosad, Malathion, Dimethoate"
6,"Dimethoate, Chlorpyrifos, Carbaryl"
7,"Carbaryl, Malathion, Permethrin, Cyfluthrin"
8,"Abamectin, Bifenazate, Fenpyroximate, Spiromesifen"
9,"Imidacloprid, Acetamiprid, Buprofezin, Thiamethoxam"
10,"Imidacloprid, Chlorpyrifos, Cypermethrin, Acetamiprid"
11,"Imidacloprid, Abamectin, Acetamiprid, Buprofezin"
12,"Imidacloprid, Thiacloprid, Dinotefuran, Thiamethoxam"
13,"Imidacloprid, Thiacloprid, Dinotefuran, Thiamethoxam"
14,"Bifenazate, Fenpyroximate, Abamectin, Hexythiazox"
15,"Malathion, Diazinon, Fenthion"
16,"Imidacloprid, Acephate, Chlorpyrifos"
17,"Carbaryl, Chlorpyrifos, Imidacloprid"
18,"Carbaryl, Diazinon, Malathion"
19,"Carbaryl, Permethrin, Cyfluthrin"
20,"Carbaryl, Malathion, Pyrethroids"
21,"Chlorpyrifos, Malathion, Methomyl"
22,"Imidacloprid, Dinotefuran, Acetamiprid"
23,"Carbaryl, Imidacloprid, Acephate"
24,"Carbaryl, Chlorpyrifos, Lambda-cyhalothrin"
25,"Thiamethoxam, Imidacloprid, Clothianidin"
26,"Imidacloprid, Chlorpyrifos, Lambda-cyhalothrin"
27,"Bifenthrin, Spiromesifen, Fenpropathrin"
28,"Chlorpyrifos, Emamectin benzoate, Indoxacarb"
29,"Chlorpyrifos, Carbofuran, Phorate"
30,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
31,"Imidacloprid, Buprofezin, Thiamethoxam"
32,"Chlorpyrifos, Imidacloprid, Acephate"
33,"Bacillus thuringiensis, Chlorpyrifos, Carbaryl"
34,"Chlorpyrifos, Deltamethrin, Fenitrothion"
35,"Chlorpyrifos, Deltamethrin, Fenitrothion"
36,"Dinotefuran, Imidacloprid, Thiamethoxam"
37,"Imidacloprid, Thiamethoxam, Dinotefuran"
38,"Imidacloprid, Clothianidin, Thiamethoxam"
39,"Buprofezin, Clothianidin, Imidacloprid"
40,"Acetamiprid, Imidacloprid, Dinotefuran"
41,"Bifenazate, Spirodiclofen, Pyridaben"
42,"Bacillus thuringiensis, Spinosad, Methomyl"
43,"Chlorpyrifos, Imidacloprid, Spirotetramat"
44,"Abamectin, Emamectin benzoate, Spinosad"
